Character Number	State Number	SimJ Score	NIC Score
1	0	0.11743772242	0.667146903232
1	1	0.478260869565	0.750703327145
1	2	0.320388349515	0.730377333842
2	0	0.152542372881	0.568482878166
2	1	0.125326370757	0.546493191447
3	0	0	0
3	1	0	0
4	0	0	0
4	1	0	0
5	0	0	0
5	1	0	0
5	2	0.0	0.0
6	0	0.738095238095	0.796283708449
6	1	0.547703180212	0.843579525717
6	2	0.361448014073	0.836934588389
6	3	0.157826649418	0.720012382427
6	4	0	0
7	0	0.217391304348	0.890218052905
7	1	0.0	0.0
8	0	0.118644067797	0.62452161483
8	1	0.267326732673	0.675637872114
9	0	0.0995260663507	0.551180687007
9	1	0.137254901961	0.595095850209
10	0	0.0	0.0
10	1	0.228882833787	0.870095607965
10	2	0.0	0.0
11	0	0.13468013468	0.621758660138
11	1	0.833333333333	0.840159280941
12	0	0.0275229357798	0.551180687007
12	1	0.037037037037	0.595095850209
13	0	0.141592920354	0.830990489394
13	1	0	0
14	0	0.452380952381	0.702514446076
14	1	0.451154013645	0.847220580016
15	0	0	0
15	1	0	0
16	0	0	0
16	1	0	0
17	0	0.0035279025016	0.639294320833
17	1	0.0035279025016	0.639294320833
18	0	0.00324587503381	0.624449053069
18	1	0.00324587503381	0.624449053069
19	0	0.0	0.0
19	1	0.0	0.0
19	2	0.74358974359	0.796283708449
20	0	0.683193708326	0.85529386606
20	1	0.00353205097609	0.594923716555
21	0	0	0
21	1	0.117021276596	0.812007815763
22	0	0.738461538462	0.840159280941
22	1	0.547945205479	0.810028077172
23	0	0.00118746289178	0.543652225711
23	1	0.00118746289178	0.543652225711
24	0	0.0220515270682	0.765369288575
24	1	0.0570125427594	0.851112934334
25	0	0.423076923077	0.828237906385
25	1	0.423076923077	0.843579525717
26	0	0.178282009724	0.806265565859
26	1	0.669749009247	0.851112934334
27	0	0.0	0.0
27	1	0.0	0.0
28	0	0.40625	0.695453146997
28	1	0.40625	0.695453146997
29	0	0.24	0.595355039459
29	1	0.25	0.560357627309
30	0	0.00437266791045	0.676726332126
30	1	0.00437241298898	0.676726332126
31	0	0	0
31	1	0.0227272727273	0.509380495349
32	0	0.351851851852	0.833884290908
32	1	0.351851851852	0.847220580016
33	0	0.684931506849	0.847220580016
33	1	0.771929824561	0.766257759861
33	2	0.0	0.0
33	3	1.0	0.847220580016
33	4	1.0	0.847220580016
34	0	0.0	0.0
34	1	0.42	0.766257759861
34	2	0.415841584158	0.766257759861
34	3	0.42	0.766257759861
35	0	0.152777777778	0.604145610992
35	1	0.152777777778	0.647070847302
36	0	0.0	0.0
36	1	0.933333333333	0.93801985348
37	0	0.6	0.882684644288
37	1	1.0	0.882684644288
38	0	0.0	0.0
38	1	0.0	0.0
38	2	0.152542372881	0.560357627309
39	0	0.00373134328358	0.509380495349
39	1	0.00884955752212	0.509380495349
39	2	0.04	0.509380495349
39	3	0.04	0.413085061454
40	0	0.00312798679294	0.55601228532
40	1	0.467532467532	0.85529386606
40	2	0.00312798679294	0.55601228532
41	0	0.11914893617	0.626067376199
41	1	0.162790697674	0.85529386606
42	0	0.0	0.0
42	1	0.0	0.0
42	2	0.0	0.0
43	0	0.0	0.0
43	1	0.161943319838	0.639012001175
43	2	0.161943319838	0.639012001175
44	0	0.041542402021	0.770922958601
44	1	0.0524729657862	0.909200726536
45	0	0.189189189189	0.782787144346
45	1	0.269230769231	0.816188747489
46	0	0.0046511627907	0.509380495349
46	1	0.0573770491803	0.509380495349
47	0	0.755102040816	0.823105573348
47	1	0.755102040816	0.823105573348
48	0	0.0	0.0
48	1	0.71875	0.818401453076
48	2	0.69696969697	0.818401453076
49	0	0.107142857143	0.551180687007
49	1	0.148148148148	0.595095850209
50	0	0.0434782608696	0.607212776993
50	1	0.0326086956522	0.551180687007
51	0	0.00400801603206	0.65869363575
51	1	0.0467625899281	0.567602390629
51	2	0.282608695652	0.697005999907
52	0	0.0526315789474	0.520500813811
52	1	0.0714285714286	0.555092833204
53	0	0.130434782609	0.663120750093
53	1	0.00729927007299	0.509380495349
54	0	0.769230769231	0.859809616338
54	1	0.769230769231	0.843579525717
55	0	0.0	0.0
55	1	0.00387328814497	0.635729971865
55	2	1.0	0.825613397796
56	0	0.160714285714	0.62473986176
56	1	0.160714285714	0.655336041461
57	0	1.0	0.85529386606
57	1	0.0727272727273	0.723260286976
58	0	0.0909090909091	0.740758223327
58	1	0.125	0.808115461445
59	0	0.000710732054016	0.731333573015
59	1	0.000473709142586	0.683738806658
60	0	1.0	0.859809616338
60	1	0.0474308300395	0.740758223327
61	0	0.941176470588	0.753489906401
61	1	0.941176470588	0.799418779441
62	0	0.00254777070064	0.525281404968
62	1	0.0025466893039	0.525281404968
63	0	0.847826086957	0.85529386606
63	1	0.847826086957	0.778179134421
64	0	0.103448275862	0.524008002307
64	1	0.0009008429316	0.459998818601
65	0	0.542553191489	0.772902697192
65	1	0.6375	0.772902697192
65	2	0.00724123242936	0.595268510668
65	3	0	0
66	0	0.000888212155818	0.509380495349
66	1	0.000888212155818	0.509380495349
67	0	0.00254410890108	0.609502467024
67	1	0.00254410890108	0.609502467024
68	0	0.408740359897	0.784000454777
68	1	0.630952380952	0.816188747489
69	0	0.0445205479452	0.466773626108
69	1	0.0412698412698	0.567602390629
70	0	0.252525252525	0.677463816625
70	1	0.252525252525	0.631384799088
70	2	0.00236859914279	0.487185557692
70	3	0	0
71	0	0.194444444444	0.663264854285
71	1	0.224489795918	0.625473510078
71	2	0.29	0.746135314925
72	0	0.00284090909091	0.509380495349
72	1	0.00202839756592	0.509380495349
73	0	0.0641711229947	0.607641803855
73	1	0.0511111111111	0.607641803855
74	0	1.0	0.840159280941
74	1	1.0	0.851112934334
75	0	0.240601503759	0.816188747489
75	1	0.833333333333	0.847220580016
76	0	0.0318203088442	0.816188747489
76	1	0.065732237796	0.830990489394
77	0	0.904761904762	0.767160447288
77	1	0.38	0.847220580016
78	0	1.0	0.851112934334
78	1	1.0	0.851112934334
79	0	0.00202565833896	0.424461424579
79	1	0.0020254873829	0.424461424579
80	0	1.0	0.847220580016
80	1	1.0	0.847220580016
81	0	0.579545454545	0.828237906385
81	1	0.957746478873	0.85529386606
82	0	1.0	0.85529386606
82	1	1.0	0.790492293611
82	2	1.0	0.851112934334
83	0	0.0	0.0
83	1	0.0	0.0
84	0	1.0	0.847220580016
84	1	1.0	0.847220580016
85	0	0.209302325581	0.695453146997
85	1	0.678571428571	0.769958546047
85	2	0.952380952381	0.847220580016
86	0	0.00319359253815	0.614990944172
86	1	0.12148030951	0.859809616338
87	0	0.1	0.696483618764
87	1	0.1	0.719228803708
88	0	1.0	0.851112934334
88	1	1.0	0.851112934334
89	0	0.791666666667	0.859809616338
89	1	0.791666666667	0.859809616338
90	0	0.00255904462334	0.509380495349
90	1	0.00250613202517	0.467084756907
91	0	0.00033383408446	0.413085061454
91	1	0.201728363214	0.836934588389
92	0	0.716049382716	0.85529386606
92	1	0.218883157659	0.864718516367
93	0	0.583333333333	0.85529386606
